"Currency","Trans Type","Settle State","Tran #","Device","Location","Asset #","Date","Card Type","Amount","AP Code","Details"
"United States Dollars","Cash","Processed",21106368791,"VK200044724","Oscar M Arenas","TBD","09/27/2025 03:12:27 AM","Cash","$2.00",,"0E02($2.00)"
"United States Dollars","Cash","Processed",21108875801,"VK200044724","Oscar M Arenas","TBD","09/27/2025 02:54:41 PM","Cash","$2.50",,"0B04($2.50)"
"United States Dollars","Credit (Apple Pay Cash EMV)","Settled",21106359420,"VK200044724","Oscar M Arenas","TBD","09/27/2025 03:03:47 AM","Visa (Apple Pay Cash EMV)","$2.50","355386","0B06($2.50)"
"United States Dollars","Credit (Apple Pay Cash EMV)","Settled",21109703627,"VK200044724","Oscar M Arenas","TBD","09/27/2025 07:25:08 PM","Visa (Apple Pay Cash EMV)","$2.50","466010","0B06($2.50)"
"United States Dollars","Credit (Apple Pay EMV)","Settled",21106360146,"VK200044724","Oscar M Arenas","TBD","09/27/2025 03:04:27 AM","Visa (Apple Pay EMV)","$2.50","585822","0A02($2.50)"
"United States Dollars","Credit (Apple Pay EMV)","Settled",21106534512,"VK200044724","Oscar M Arenas","TBD","09/27/2025 05:09:55 AM","Visa (Apple Pay EMV)","$2.00","168770","0E02($2.00)"
"United States Dollars","Credit (Apple Pay EMV)","Settled",21106817154,"VK200044724","Oscar M Arenas","TBD","09/27/2025 06:58:10 AM","Visa (Apple Pay EMV)","$2.50","965610","0C04($2.50)"
"United States Dollars","Credit (Apple Pay EMV)","Settled",21108087684,"VK200044724","Oscar M Arenas","TBD","09/27/2025 11:52:50 AM","MasterCard (Apple Pay EMV)","$2.50","165427","0B04($2.50)"
"United States Dollars","Credit (Apple Pay EMV)","Settled",21108606155,"VK200044724","Oscar M Arenas","TBD","09/27/2025 01:47:49 PM","Visa (Apple Pay EMV)","$2.50","792859","0A00($2.50)"
"United States Dollars","Credit (Apple Pay EMV)","Settled",21109400061,"VK200044724","Oscar M Arenas","TBD","09/27/2025 05:29:00 PM","Visa (Apple Pay EMV)","$2.00","076243","0E02($2.00)"
"United States Dollars","Credit (Apple Pay EMV)","Settled",21109499693,"VK200044724","Oscar M Arenas","TBD","09/27/2025 06:03:55 PM","Visa (Apple Pay EMV)","$2.50","120235","0B00($2.50)"
"United States Dollars","Credit (Apple Pay EMV)","Settled",21109501018,"VK200044724","Oscar M Arenas","TBD","09/27/2025 06:04:26 PM","Visa (Apple Pay EMV)","$2.50","120235","0A02($2.50)"
"United States Dollars","Credit (Apple Pay EMV)","Settled",21109703033,"VK200044724","Oscar M Arenas","TBD","09/27/2025 07:24:46 PM","Visa (Apple Pay EMV)","$2.50","467373","0C00($2.50)"
"United States Dollars","Credit (Apple Pay EMV)","Settled",21110111045,"VK200044724","Oscar M Arenas","TBD","09/27/2025 11:25:10 PM","Visa (Apple Pay EMV)","$2.50","064240","0B06($2.50)"
